,Correct,Hallucination,Misclassification
Correct_Truth,1286,547,786
Hallucination_Truth,15,106,90
Misclassification_Truth,1,49,120
Correct_Truth,1286,462,871
Hallucination_Truth,15,96,100
Misclassification_Truth,1,38,131
Correct_Truth,1286,398,935
Hallucination_Truth,15,93,103
Misclassification_Truth,1,32,137
Correct_Truth,1286,350,983
Hallucination_Truth,15,90,106
Misclassification_Truth,1,27,142
Correct_Truth,1286,314,1019
Hallucination_Truth,15,89,107
Misclassification_Truth,1,19,150
Correct_Truth,1286,289,1044
Hallucination_Truth,15,86,110
Misclassification_Truth,1,18,151
Correct_Truth,1286,273,1060
Hallucination_Truth,15,85,111
Misclassification_Truth,1,14,155
Correct_Truth,1286,267,1066
Hallucination_Truth,15,85,111
Misclassification_Truth,1,13,156
Correct_Truth,1286,249,1084
Hallucination_Truth,15,82,114
Misclassification_Truth,1,10,159
